Name,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Finca Carelio Tempranillo 2015 Vino de la Tierra,204,187,9.99,red wine,spanish,old world,,,0.9166666666666666
Finca Dofi 2014 Alvaro Palacio,0,0,90,fine wine,,,,,
Fine Wine Aficionado Case x6,0,0,205,fine wine,,,,,
First Class Pinot Noir 2015 Bio Bio Valley,80,64,7.99,red wine,chilean,new world,pinot noir,,0.8
Fleurie Lafayette 2015,2,2,12.99,red wine,,,,,1
Flowers 'Camp Meeting Ridge'  Chardonnay 2013 Sonoma Coast,0,0,120,fine wine,,,,california,
Flowers Camp Ridge Pinot Noir 2013,0,0,120,fine wine,,,pinot noir,california,
"Flowers Sonoma Coast Pinot Noir 2016",0,0,60,fine wine,,,,california,
Frankland Estate Riesling 2016,1,1,15.99,white wine,,,,,1
Gavi 2016 Araldica,62,58,9.99,white wine,italian,old world,,,0.9354838709677419
Gavi 2016 La Toledana,145,130,14.99,white wine,italian,old world,,,0.896551724137931
Geoffrey Martin St Veran,4,4,16.99,white wine,,,chardonnay,,1
Gewürztraminer 'Les Princes Abbés' 2015 Domaines Schlumberger,17,17,16.99,white wine,french,old world,,,1
Giesen Sauvignon Blanc 2016 Marlborough,161,142,9.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.8819875776397516
Gigondas Carobelle,0,0,17.99,white wine,,,,,
Glenelly Lady May 2010,0,0,35,fine wine,south-african,new world,,,
"Gnarly Dudes Shiraz 2016 Two Hands, Barossa Valley",39,37,21.99,red wine,australian,new world,,,0.9487179487179487
Goldwater Sauvignon Blanc 2016 Marlborough,126,114,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9047619047619048
Governo Toscana IGT,13,11,11.99,red wine,,,,,0.8461538461538461
Graham Beck Brut Rosé NV,32,31,14.99,white wine,south-african,new world,chardonnay,,0.96875
Graham Norton's Own Sauvignon Blanc 2016 Marlborough,137,129,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9416058394160584
Gran Volante Tinto 2016,9,7,9.99,red wine,spanish,old world,tempranillo,,0.7777777777777778
Grato Grati Rosso di Toscana 1991,39,33,29.99,fine wine,italian,old world,,,0.8461538461538461
Guado al Tasso 2014 Bolgheri Antinori,0,0,100,fine wine,italian,old world,merlot,,
Hardys Tintara Sangiovese,0,0,15,red wine,australian,new world,,,
Haut Poitou Sauvignon Blanc 2016 Pierre Sauvion,28,27,9.99,white wine,french,old world,sauvignon blanc,,0.9642857142857143
Haut Vol Rosé 2016 Vin de France,54,49,8.99,rose wine,french,old world,,,0.9074074074074074
Heggies Chardonnay 2013 Eden Valley,10,9,17.99,white wine,australian,new world,chardonnay,,0.9
"Hey Malbec! 2017 Matias Riccitelli, Mendoza",179,162,12.99,red wine,argentinian,new world,,,0.9050279329608939
Historialis Cahors Malbec 2016,1,1,11.99,red wine,,,,,1
Hospices de Beaujeu 2015,9,9,11.49,red wine,french,old world,,,1
Incanta Pinot Noir 2016,78,67,7.99,red wine,,,pinot noir,,0.8589743589743589
"Invivo Sauvignon Blanc 2017 Awatere Valley, Marlborough",66,62,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9393939393939394
Jaboulet Syrah 2013,8,6,11.99,red wine,french,old world,,,0.75
"Kaiken Seleccion Especial Malbec 2016, Mendoza",74,68,9.99,red wine,,,,,0.918918918918919
Kangarilla Road Chardonnay 2016 Adelaide Hills,16,11,13.99,white wine,australian,new world,,,0.6875
Kangarilla Road Primitivo 2015,8,7,13.99,red wine,australian,new world,,,0.875
Kangarilla Road Shiraz 2016 McLaren Vale,114,108,13.99,red wine,australian,new world,,,0.9473684210526315
Kanonkop Cabernet Sauvignon 2012 Stellenbosch,14,12,28,fine wine,south-african,new world,,,0.8571428571428571
Kanonkop Kadette Pinotage 2016,4,4,13.99,red wine,,,,,1
Kanonkop Pinotage 2015 Stellenbosch,22,20,28,fine wine,south-african,new world,,,0.9090909090909091
Klein Constantia Sauvignon Blanc 2016 Constantia,24,22,13.99,white wine,south-african,new world,sauvignon blanc,,0.9166666666666666
Krasno Sauvignon Blanc Ribolla 2016,124,112,8.99,white wine,,,sauvignon blanc,,0.9032258064516129
Kuhlmann-Platz Pinot Blanc 2016 Cave de Hunawihr,11,11,11.99,white wine,french,old world,,,1
Kuhlmann-Platz Riesling 2016 Cave de Hunawihr,27,25,11.99,white wine,french,old world,riesling,,0.9259259259259259
L'Etoile de Begude Chardonnay 2016 Limoux,24,23,15.99,white wine,french,old world,,,0.9583333333333334
L'Extra par Langlois Brut NV Crémant de Loire,38,35,13.99,white wine,french,old world,chardonnay,,0.9210526315789473
L'Extra par Langlois Rosé NV Crémant de Loire,20,20,13.99,white wine,french,old world,,,1
LA Spinetta Barbaresco Valeirano 2011,0,0,130,fine wine,,,,,
La Baume Grande Olivette Malbec 2015,50,45,7.99,red wine,french,old world,malbec,south of france,0.9
"La Baume La Grande Olivette, Chenin Blanc Vdf",4,2,7.99,white wine,,,,south of france,0.5
La Belle Angele Rose 2017,2,2,8.99,rose wine,,,,,1
La Belle Angele Sauvignon Blanc 2016,53,48,8.99,white wine,french,old world,sauvignon blanc,,0.9056603773584906
La Font Reserva 2011 Valencia,43,36,6.99,red wine,spanish,old world,,,0.8372093023255814
La Garnacha 2015 Salvaje del Moncayo,53,50,9.99,red wine,spanish,old world,,,0.9433962264150944
La Grange des Combes 2015 AOC St-Chinian-Roquebrun,70,67,12.99,red wine,french,old world,,south of france,0.9571428571428572
La Marotte,0,0,9.99,red wine,,,,,
